Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
9094920962,0.044608,-0.275264,0.010645,-0.015035,0.999547,-0.027465
9094923465,-0.016392,-0.335939,0.010761,-0.015789,0.998820,-0.024565
9094925967,-0.077375,-0.274483,0.071330,-0.016536,0.994477,-0.026765
9094928469,-0.016242,-0.152817,0.010356,-0.013622,0.993731,-0.028200
9094930972,0.044829,0.029946,0.009980,-0.014336,0.996636,-0.026742
9094933474,0.105924,0.151516,-0.050974,-0.015760,1.002449,-0.024554
9094935977,0.044945,0.151684,-0.050965,-0.014343,0.999529,-0.022371
9094938479,-0.077084,0.091249,0.009869,-0.013652,0.993720,-0.023838
9094940981,-0.138131,0.152729,0.131144,-0.015037,0.998099,-0.028924
9094943483,-0.077145,0.274578,0.191562,-0.011405,0.998068,-0.028170
9094945986,-0.016052,0.335095,0.130677,-0.011436,0.997333,-0.024538
9094948488,0.044985,0.212503,0.009485,-0.011457,0.995878,-0.023089
9094950991,-0.016096,0.029722,0.009854,-0.011420,0.998063,-0.025989
9094953493,-0.077034,-0.092185,-0.050609,-0.015045,1.000268,-0.025282
9094955995,-0.077050,-0.153132,-0.050467,-0.016531,0.998821,-0.022390
9094958497,-0.016039,-0.092323,-0.050570,-0.013609,1.000973,-0.021635
9094961000,0.105732,-0.031430,0.070744,-0.009195,1.000231,-0.029601
9094963502,0.044753,-0.031205,0.070715,-0.010647,0.998797,-0.031797
9094966004,-0.016370,-0.152774,0.131644,-0.015797,0.995922,-0.026755
9094968507,-0.016528,-0.274521,0.192561,-0.015838,0.990842,-0.026771
9094971009,-0.016480,-0.335570,0.131922,-0.013624,0.992283,-0.029658
9094973511,-0.016392,-0.335624,0.071175,-0.015809,0.994471,-0.026760
9094976014,0.105628,-0.275131,0.010334,-0.015098,0.993011,-0.026032
9094978516,0.227526,-0.214498,0.010219,-0.014365,0.993731,-0.026025
9094981018,0.227412,-0.153295,0.070795,-0.012177,0.993715,-0.026735
9094983521,0.227461,0.029683,0.070393,-0.011421,0.992996,-0.031821
9094986023,0.166526,0.029730,0.009658,-0.012885,0.993005,-0.030378
9094988526,0.166474,0.029721,0.009655,-0.013612,0.993735,-0.029654
9094991028,0.105273,-0.152845,0.070730,-0.011403,0.999516,-0.026712
9094993530,0.044091,-0.335353,0.131786,-0.017268,0.995205,-0.025314
9094996033,-0.138841,-0.456555,0.131976,-0.018038,0.993024,-0.021692
9094998535,-0.199701,-0.517332,0.071349,-0.015794,0.998818,-0.023838
9095001037,-0.199558,-0.395216,0.071073,-0.015075,0.995915,-0.026023
9095003540,-0.138346,-0.212536,0.009973,-0.014338,0.990846,-0.033303
9095006042,-0.016248,-0.091105,-0.050974,-0.014335,0.993742,-0.030386
9095008544,0.044744,-0.030315,-0.051078,-0.012916,0.992270,-0.026745
9095011047,0.044812,-0.030464,-0.111767,-0.012180,0.991543,-0.028923
9095013549,-0.016148,-0.030239,-0.111739,-0.013600,0.995186,-0.029649
9095016051,-0.077169,-0.151968,-0.111458,-0.013616,0.994457,-0.028198
9095018554,-0.077267,-0.212738,-0.050591,-0.017989,0.995937,-0.025317
9095021056,-0.077409,-0.212354,0.070836,-0.015067,0.993746,-0.029664
9095023558,-0.016439,-0.212502,0.070821,-0.014332,0.995914,-0.028198
9095026061,-0.016436,-0.090323,0.131251,-0.011439,0.994437,-0.027455
9095028563,0.105418,-0.029590,0.191803,-0.017258,0.995208,-0.026768
9095031065,0.044479,0.031612,0.191609,-0.020160,0.993064,-0.030431
9095033568,0.105534,0.092204,0.130724,-0.017955,0.995225,-0.031135
9095036070,0.044761,0.153050,0.009139,-0.014325,0.993746,-0.031840
9095038572,0.105939,0.274422,-0.112521,-0.012191,0.990092,-0.028928
9095041074,0.045042,0.274393,-0.173198,-0.012191,0.990092,-0.028928
9095043577,0.044945,0.274465,-0.112438,-0.013625,0.991559,-0.030388
9095046079,-0.016218,0.091823,-0.051325,-0.015060,0.995196,-0.028933
9095048582,-0.016499,-0.090819,0.070481,-0.015065,0.995918,-0.027477
9095051084,-0.016534,-0.151767,0.070585,-0.010692,0.993714,-0.031086
9095053586,-0.016489,-0.090743,0.070437,-0.010713,0.997325,-0.023806
9095056089,-0.016403,0.031239,0.070162,-0.012925,0.992990,-0.024562
9095058591,0.044711,0.152809,0.009188,-0.012223,0.992975,-0.020922
9095061093,0.044697,0.152761,0.009186,-0.010708,0.997327,-0.024532
9095063596,-0.016057,0.213588,-0.112362,-0.008527,0.996585,-0.025246
9095066098,-0.137904,0.274927,-0.112467,-0.007807,0.998748,-0.021599
9095068600,-0.198889,0.275215,-0.051733,-0.013587,0.998086,-0.028186
9095071103,-0.138170,0.214413,0.130533,-0.010712,0.998049,-0.023076
9095073605,-0.016438,0.031144,0.191591,-0.010037,0.991511,-0.023092
9095076108,0.166448,-0.030647,0.130973,-0.012161,0.994445,-0.028187
9095078610,0.166562,-0.030955,0.009520,-0.012102,0.998809,-0.031808
9095081112,0.166632,0.029873,-0.051315,-0.015059,0.996644,-0.027474
9095083615,0.044605,0.030453,0.009393,-0.015090,0.995185,-0.024571
9095086117,-0.016315,0.091635,0.009257,-0.015096,0.998801,-0.019471
9095088619,-0.077255,0.091821,0.009247,-0.015094,0.995907,-0.023115
9095091121,-0.137971,0.152667,-0.112300,-0.015755,1.002451,-0.025280
9095093624,-0.137888,0.213596,-0.112392,-0.011418,0.995168,-0.029633
9095096126,-0.137884,0.152552,-0.112230,-0.011431,0.997335,-0.025265
9095098630,-0.077018,0.091471,-0.051356,-0.014356,0.996629,-0.023835
9095101132,-0.016377,-0.030250,0.131037,-0.012139,0.996624,-0.028907
9095103635,-0.016372,-0.030241,0.130996,-0.014328,0.995192,-0.029654
9095106137,-0.016284,-0.030390,0.070249,-0.013614,0.996629,-0.026010
9095108639,-0.016156,0.030437,0.009395,-0.012158,0.997341,-0.025270
9095111142,0.044958,0.152007,-0.051559,-0.012156,0.999513,-0.023082
9095113644,0.105890,0.151744,-0.051536,-0.009187,1.003129,-0.027411
9095116147,0.105897,0.212673,-0.051646,-0.009215,1.000224,-0.026693
9095118649,0.105947,0.212448,-0.112336,-0.013613,0.997353,-0.025281
9095121151,0.105953,0.273358,-0.112427,-0.008536,0.992964,-0.028165
9095123653,0.105837,0.273431,-0.051686,-0.008541,0.992962,-0.027438
9095126156,0.105764,0.212368,-0.051543,-0.007112,0.992217,-0.024522
9095128658,0.044787,0.090404,-0.111987,-0.009258,0.992971,-0.028897
9095131160,-0.016376,-0.092180,-0.050874,-0.010742,0.993696,-0.023817
9095133663,-0.016451,-0.214105,-0.050605,-0.013626,0.994453,-0.026744
9095136165,-0.016529,-0.213879,0.010116,-0.013625,0.995177,-0.026015
9095138668,-0.077552,-0.213438,0.070812,-0.011426,0.997337,-0.025992
9095141170,-0.138434,-0.152179,0.070656,-0.012115,0.995909,-0.033271
9095143672,-0.138350,-0.091154,0.070508,-0.013625,0.995901,-0.025285
9095146174,-0.138430,-0.151943,0.131317,-0.016588,0.993010,-0.020954
9095148677,-0.077357,-0.152270,0.070578,-0.013645,0.995170,-0.023107
9095151179,-0.016467,-0.274390,0.070815,-0.010706,0.999499,-0.022345
9095153682,-0.077365,-0.335225,0.010207,-0.011475,0.992976,-0.023825
9095156184,-0.138327,-0.395881,0.010323,-0.015831,0.992292,-0.026040
9095158686,-0.138243,-0.334780,0.010193,-0.012871,0.997352,-0.027456
9095161189,-0.077297,-0.273754,0.070776,-0.015100,0.995182,-0.023118
9095163691,-0.016163,-0.152089,0.009803,-0.011436,0.996609,-0.025267
9095166193,0.044705,-0.152097,0.070512,-0.013615,0.995181,-0.027468
9095168696,0.166622,-0.091503,0.070377,-0.021647,0.995235,-0.023165
9095171198,0.288256,-0.152564,0.191907,-0.019477,0.993765,-0.023154
9095173700,0.227343,-0.091483,0.131008,-0.014354,0.994459,-0.026749
9095176203,0.227311,-0.030477,0.130840,-0.011466,0.992980,-0.025279
9095178705,0.227283,-0.091603,0.070220,-0.015118,0.993004,-0.023125
9095181207,0.166268,-0.213472,0.009738,-0.013674,0.992265,-0.022389
9095183710,0.044284,-0.273951,0.009847,-0.015099,0.991563,-0.027491
9095186212,-0.016719,-0.212514,0.070417,-0.011432,0.995887,-0.026723
9095188714,0.044190,-0.151527,0.130980,-0.012151,0.999515,-0.023809
9095191217,0.105205,-0.151853,0.070241,-0.013674,0.991541,-0.023118
9095193719,0.044185,-0.212567,0.070338,-0.016628,0.987930,-0.020971
9095196221,-0.016691,-0.212444,0.009604,-0.013665,0.990820,-0.025302
9095198724,-0.077592,-0.151185,0.009467,-0.015777,0.995930,-0.029663
9095201226,-0.016624,-0.029241,0.069924,-0.016560,0.990850,-0.027504
9095203728,0.044367,0.031530,0.069782,-0.017273,0.990137,-0.030419
9095206231,-0.016510,0.031576,0.009048,-0.015067,0.993746,-0.029664
9095208733,0.044441,0.031351,0.009052,-0.014321,0.996642,-0.028923
9095211236,0.105373,0.031126,0.009056,-0.017959,0.996671,-0.028950
9095213738,0.105420,0.153070,0.008801,-0.019431,0.994506,-0.028967
9095216241,0.044441,0.153237,0.008791,-0.015070,0.995192,-0.027479
9095218742,-0.016476,0.092268,-0.051798,-0.017282,0.991581,-0.027507
9095221245,-0.016591,-0.090691,-0.051403,-0.015112,0.989388,-0.028225
9095223747,-0.016583,-0.212774,-0.111839,-0.012906,0.992273,-0.028199
9095226254,-0.077644,-0.395423,-0.111432,-0.013591,0.999532,-0.026001
9095228752,-0.077663,-0.334163,-0.050818,-0.014311,0.996646,-0.030377
9095231254,-0.016695,-0.212161,0.009658,-0.012889,0.994451,-0.028192
9095233757,-0.016570,-0.029164,0.009276,-0.016525,0.995204,-0.027490
9095236259,-0.016441,0.031663,-0.051559,-0.017239,0.998834,-0.025303
9095238761,-0.138331,0.154196,0.008896,-0.015801,0.996645,-0.025299
9095241264,-0.077298,0.092797,-0.051679,-0.018706,0.992328,-0.031150
9095243766,-0.077437,-0.029027,0.009296,-0.014370,0.988663,-0.031129
9095246269,-0.077370,-0.090154,-0.051286,-0.014363,0.990837,-0.029668
9095248771,-0.138458,-0.089593,0.070134,-0.012146,0.995174,-0.029639
9095251273,-0.199320,-0.028372,0.069978,-0.012155,0.995895,-0.027455
9095253775,-0.138271,0.032398,0.069837,-0.014336,0.992294,-0.031845
9095256278,-0.138062,0.032070,-0.051596,-0.014340,0.993016,-0.030388
9095258780,-0.137979,0.093037,-0.051706,-0.010678,0.997338,-0.028894
9095261282,-0.076906,0.092634,-0.112389,-0.013590,0.995190,-0.031103
9095263785,-0.076882,0.092605,-0.112353,-0.014323,0.995194,-0.030381
9095266287,-0.015789,0.153178,-0.173143,-0.012871,0.997352,-0.027456
9095268789,-0.015744,0.214107,-0.173215,-0.014326,0.996640,-0.028196
9095271292,0.045164,0.274960,-0.112575,-0.012158,0.992999,-0.030372
9095273794,0.105930,0.274976,0.008879,-0.012150,0.995896,-0.028182
9095276297,0.166719,0.213856,0.069715,-0.015005,1.000282,-0.031097
9095278799,0.105641,0.092051,0.069939,-0.016466,0.998844,-0.031840
9095281301,-0.016284,0.092452,0.069903,-0.012861,0.997356,-0.028910
9095283803,-0.016156,0.153241,0.009049,-0.014293,0.999547,-0.029641
9095286306,-0.077057,0.214385,0.008913,-0.013547,1.002442,-0.028899
9095288808,-0.076869,0.336112,-0.052048,-0.008488,1.000218,-0.026688
9095291310,-0.076805,0.396984,-0.052158,-0.012147,0.998068,-0.025995
9095293813,-0.015752,0.396485,-0.112840,-0.014302,1.000267,-0.027457
9095296315,-0.015870,0.335542,-0.051973,-0.014324,0.998812,-0.026008
9095298818,0.106109,0.334848,-0.112648,-0.012876,0.996626,-0.027458
9095301320,0.166982,0.273551,-0.112480,-0.010696,0.994437,-0.029630
9095303822,0.105901,0.273839,-0.051746,-0.010728,0.992978,-0.026727
9095306325,-0.016064,0.213206,-0.051617,-0.012942,0.991536,-0.023840
9095308827,-0.137951,0.213570,-0.051615,-0.011443,0.995159,-0.025999
9095311347,-0.198854,0.213718,-0.051605,-0.009929,0.998787,-0.030338
9095313833,-0.137805,0.274412,-0.051709,-0.011389,0.998797,-0.029622
9095316332,-0.076856,0.213134,-0.051559,-0.008472,1.000948,-0.028139
9095318835,-0.076749,0.212908,-0.112248,-0.010697,0.998055,-0.025257
9095321337,-0.015696,0.212468,-0.172912,-0.014340,0.997359,-0.025286
9095323840,-0.015731,0.151424,-0.172731,-0.013603,0.997356,-0.026735
9095326342,-0.076755,0.151750,-0.111978,-0.008545,0.993684,-0.025982
9095328844,-0.015828,0.212623,-0.051357,-0.009993,0.995146,-0.025261
9095331346,0.045120,0.334453,0.009119,-0.015768,0.999552,-0.026744
9095333849,0.167038,0.394895,0.009004,-0.016526,0.994480,-0.028219
9095336351,0.227891,0.333579,0.009134,-0.013640,0.991553,-0.028207
9095338854,0.166833,0.272712,0.009251,-0.015805,0.993025,-0.028945
9095341356,0.166698,0.272785,0.069953,-0.018726,0.992321,-0.028242
9095343858,0.166809,0.394494,0.008973,-0.018689,0.993781,-0.031872
9095346361,0.166882,0.333076,-0.112314,-0.016493,0.997387,-0.029663
9095348863,0.105927,0.272051,-0.172865,-0.012111,0.999529,-0.029625
9095351366,0.044907,0.211204,-0.172691,-0.012825,0.998093,-0.033269
9095353868,-0.077204,0.150909,-0.051114,-0.014314,0.994474,-0.032564
9095356370,-0.138126,0.151077,-0.051105,-0.014342,0.991568,-0.031847
9095358873,-0.077137,0.150814,-0.051082,-0.015789,0.994478,-0.029667
9095361375,-0.016209,0.211687,0.009521,-0.014344,0.994463,-0.028203
9095363877,0.044905,0.333200,-0.051434,-0.012889,0.994451,-0.028192
9095366379,-0.016138,0.333469,0.009281,-0.012895,0.993725,-0.028195
9095368882,-0.016173,0.272388,0.009404,-0.015079,0.992295,-0.029669
9095371384,0.105438,0.089259,0.131206,-0.014318,0.995196,-0.031108
9095373887,0.105241,-0.032563,0.192123,-0.012154,0.992277,-0.031829
9095376389,0.105251,-0.093689,0.131483,-0.009260,0.991523,-0.030356
9095378891,0.044478,-0.032785,0.009898,-0.011418,0.995168,-0.029633
9095381394,-0.016442,0.028417,0.009761,-0.016541,0.994475,-0.026038
9095383896,-0.077302,0.150577,0.009498,-0.013648,0.992998,-0.025295
9095386398,-0.138227,0.272857,0.069941,-0.012916,0.992270,-0.026745
9095388900,-0.077157,0.394510,0.069673,-0.013622,0.993731,-0.028200
9095391403,-0.077173,0.333409,0.069778,-0.012878,0.995178,-0.028917
9095393905,-0.016323,0.150159,0.070142,-0.010693,0.997333,-0.026713
9095396408,0.044505,0.089079,0.130959,-0.010684,0.996612,-0.028896
9095398910,0.105600,0.210630,0.069966,-0.013597,0.993740,-0.031835
9095401412,0.044867,0.332415,-0.051726,-0.013597,0.993740,-0.031835
9095403915,-0.076956,0.332582,-0.112430,-0.013571,0.995197,-0.034011
9095406417,-0.138081,0.149922,-0.051317,-0.013600,0.995910,-0.028920
9095408919,-0.199147,0.028295,0.009651,-0.011460,0.993706,-0.025276
9095411422,-0.199124,-0.032691,0.009774,-0.009985,0.993701,-0.028173
9095413924,-0.138159,0.028240,0.070357,-0.013599,0.996634,-0.028191
9095416426,-0.138032,0.028072,0.009630,-0.017241,0.996662,-0.027490
9095418929,-0.016097,0.027633,0.009641,-0.015050,0.995924,-0.029657
9095421431,0.105923,0.088012,-0.051180,-0.015049,0.996648,-0.028928
9095423933,0.227779,0.209666,0.009302,-0.016498,0.997385,-0.028937
9095426436,0.227584,0.148782,0.070131,-0.015033,0.997377,-0.030380
9095428938,0.227266,0.027100,0.191773,-0.014321,0.996642,-0.028923
9095431441,0.166169,-0.094647,0.191959,-0.014355,0.993011,-0.028208
9095433943,-0.016638,-0.094131,0.131172,-0.013634,0.992279,-0.028205
9095436445,-0.077373,-0.033227,0.009586,-0.014376,0.992280,-0.026029
9095438947,-0.077183,-0.033534,-0.111828,-0.016513,0.997380,-0.026756
9095441450,-0.077035,0.027295,-0.172625,-0.014346,0.996633,-0.025288
9095443952,-0.076971,0.088263,-0.172697,-0.012192,0.993710,-0.024555
9095446454,-0.016001,0.088020,-0.172635,-0.010721,0.994427,-0.025996
9095448957,0.044701,0.088253,0.009542,-0.009993,0.995146,-0.025261
9095451459,0.044564,0.027408,0.070371,-0.012154,0.996619,-0.026726
9095453962,0.044467,0.027558,0.131055,-0.014333,0.995190,-0.028928
9095456464,0.105399,0.027334,0.131021,-0.009975,0.993705,-0.029627
9095458966,0.105449,0.027167,0.070274,-0.009962,0.996605,-0.028164
9095461469,0.044553,0.027215,0.009539,-0.012866,0.997354,-0.028183
9095463971,-0.016324,0.027262,-0.051176,-0.010679,0.996614,-0.029623
9095466473,-0.016322,0.149366,0.009293,-0.011449,0.994433,-0.026001
9095468975,-0.016317,0.149319,0.009290,-0.015080,0.995913,-0.025296
9095471478,0.044594,0.088080,0.009420,-0.013638,0.993001,-0.026748
9095473980,0.044500,-0.033901,0.009670,-0.011469,0.990084,-0.028196
9095476483,0.105598,-0.034423,-0.111737,-0.011477,0.991528,-0.025283
9095478985,0.044742,0.026621,-0.172541,-0.015853,0.990112,-0.025320
9095481487,0.044768,0.087590,-0.172613,-0.012881,0.996625,-0.026732
9095483990,-0.016481,0.027277,0.009677,-0.011420,0.998063,-0.025989
9095486492,-0.016888,-0.094050,0.252749,-0.013646,0.994446,-0.023836
9095488994,-0.016965,-0.093862,0.313375,-0.015100,0.995182,-0.023118
9095491497,-0.016837,-0.033014,0.252445,-0.015797,0.995922,-0.026755
9095493999,-0.138394,0.088903,0.069982,-0.013605,0.995184,-0.028922
9095496502,-0.138268,0.088717,0.009255,-0.010016,0.992242,-0.025270
9095499004,-0.077199,0.210427,0.009006,-0.011461,0.992982,-0.026006
9095501506,-0.077217,0.271497,0.069582,-0.012161,0.995169,-0.027458
9095504008,-0.077110,0.271252,0.008855,-0.009983,0.990807,-0.031817
9095506510,-0.077126,0.210191,0.008978,-0.015079,0.991571,-0.030398
9095509013,0.044710,0.087741,0.009242,-0.014340,0.993016,-0.030388
9095511516,0.044493,-0.095058,0.070324,-0.013618,0.993009,-0.029656
9095514018,0.044482,-0.217141,0.009849,-0.016566,0.990124,-0.027506
9095516520,-0.016436,-0.277993,-0.050740,-0.015071,0.994468,-0.028208
9095519023,-0.016390,-0.216929,-0.050850,-0.014330,0.998086,-0.026011
9095521525,-0.016345,-0.155884,-0.050961,-0.012160,0.995893,-0.026729
9095524027,-0.016383,-0.094699,0.009634,-0.015071,0.994468,-0.028208
9095526530,-0.016378,-0.094670,0.009631,-0.013590,0.995914,-0.030374
9095529032,-0.016413,-0.155617,0.009755,-0.008547,0.995854,-0.023067
9095531534,-0.016530,-0.216386,0.070584,-0.010739,0.992250,-0.026003
9095534037,-0.016402,-0.155500,0.009729,-0.013630,0.991557,-0.029661
9095536539,0.044669,0.027264,0.009354,-0.014350,0.993013,-0.028935
9095539041,-0.016088,0.210242,-0.051741,-0.012187,0.993712,-0.025282
9095541543,-0.076988,0.271368,-0.051858,-0.010716,0.998771,-0.021620
9095544046,-0.198976,0.088783,-0.051476,-0.011415,0.998064,-0.026716
9095546548,-0.199117,-0.094016,0.009625,-0.015035,0.995929,-0.031838
9095549051,-0.199137,-0.093828,0.070327,-0.011455,0.993708,-0.026003
9095551553,-0.077020,0.027566,0.009361,-0.010004,0.994418,-0.024536
9095554055,-0.076875,0.210487,0.008979,-0.015868,0.990107,-0.023139
9095556557,-0.076728,0.271239,-0.051856,-0.017224,0.998115,-0.028213
9095559060,-0.076744,0.210177,-0.051713,-0.009969,0.998773,-0.024523
9095561562,-0.076963,-0.033637,0.009514,-0.013613,0.997353,-0.025281
9095564065,-0.077102,-0.155421,0.070469,-0.012200,0.991536,-0.026016
9095566567,-0.016049,-0.155746,0.009749,-0.012886,0.996623,-0.026005
9095569069,0.044982,-0.033959,0.009500,-0.013608,0.997354,-0.026008
9095571571,0.045008,0.027028,0.009370,-0.010711,0.995155,-0.026720
9095574074,-0.015992,-0.033742,0.009487,-0.011474,0.994424,-0.022366
9095576576,-0.076930,-0.155628,-0.050976,-0.011440,0.998055,-0.023082
9095579078,-0.076863,-0.216715,-0.111539,-0.011430,0.998059,-0.024535
9095581581,-0.076922,-0.216488,-0.050798,-0.014305,0.997371,-0.030374
9095584083,-0.076941,-0.155284,0.009797,-0.013634,0.992279,-0.028205
9095586586,-0.015891,-0.033497,0.009548,-0.010687,0.993716,-0.031813
9095589088,0.045058,0.088410,0.070005,-0.012848,0.995189,-0.033278
9095591590,0.105949,0.027191,0.070116,-0.012871,0.996628,-0.028185
9095594093,0.105876,-0.033795,0.070220,-0.015050,0.995924,-0.029657
9095596595,0.044897,-0.033569,0.070191,-0.016543,0.987961,-0.033328
9095599097,0.045003,0.149372,0.069790,-0.016509,0.991592,-0.034044
9095601600,0.045152,0.271120,0.008810,-0.010687,0.993716,-0.031813
9095604102,0.106126,0.209684,-0.051765,-0.011388,0.999521,-0.028892
9095606605,0.045190,0.148698,-0.112335,-0.013550,0.995928,-0.036189
9095609107,0.105999,0.087618,-0.051461,-0.014340,0.993740,-0.029659
9095611609,0.044896,0.026987,0.009380,-0.014351,0.992289,-0.029664
9095614112,0.044676,-0.033680,0.130915,-0.017984,0.991596,-0.031147
9095616614,0.105568,-0.094862,0.131007,-0.013621,0.994455,-0.027471
9095619117,-0.016314,-0.155537,0.070373,-0.014324,0.994470,-0.031111
9095621618,-0.016226,-0.155647,0.009645,-0.011392,0.996626,-0.031809
9095624121,-0.077210,-0.094247,0.070214,-0.007762,0.994422,-0.033243
9095626623,-0.016197,-0.155568,0.009620,-0.011474,0.990082,-0.027469
9095629125,-0.015986,-0.094860,-0.111920,-0.008548,0.990788,-0.028899
9095631628,-0.076803,-0.033797,-0.172724,-0.007788,0.992965,-0.031067
9095634130,-0.076822,0.027349,-0.112091,-0.009247,0.993699,-0.029622
9095636634,-0.016018,0.027443,0.009363,-0.007781,0.995139,-0.029607
9095639136,-0.016096,0.027593,0.070065,-0.008498,0.990806,-0.036168
9095641639,0.044855,0.027369,0.070050,-0.011502,0.987177,-0.026751
9095644141,-0.016022,0.027417,0.009316,-0.011456,0.992984,-0.026732
9095646643,-0.016057,-0.033569,0.009439,-0.013611,0.994458,-0.028925
9095649146,-0.077038,-0.094320,0.009556,-0.012181,0.994437,-0.025279
9095651648,-0.138002,-0.032939,0.070125,-0.015765,0.998105,-0.028929
9095654151,-0.198782,0.028104,0.009264,-0.013595,0.995188,-0.030376
9095656653,-0.137651,0.088698,-0.051564,-0.011436,0.992267,-0.030369
9095659155,-0.076619,0.027320,-0.112120,-0.015795,0.993028,-0.030399
9095661657,-0.076512,0.027152,-0.172790,-0.012828,0.999539,-0.031084
9095664160,-0.076653,0.027461,-0.051325,-0.010699,0.996607,-0.026716
9095666662,-0.076712,0.027611,0.009397,-0.014360,0.993009,-0.027481
9095669164,0.045121,0.027331,0.070113,-0.011450,0.993710,-0.026730
9095671667,-0.015839,0.027538,0.070084,-0.015814,0.993745,-0.026762
9095674169,-0.076820,-0.033233,0.070182,-0.013660,0.990822,-0.026028
9095676672,-0.198608,0.089162,0.069893,-0.014350,0.993737,-0.028205
9095679174,-0.198543,-0.032978,0.009418,-0.014323,0.995194,-0.030381
9095681676,-0.198315,-0.033286,-0.111996,-0.014317,0.995920,-0.030379
9095684179,-0.137304,-0.155603,-0.172407,-0.016556,0.990127,-0.028960
9095686681,-0.076357,-0.094633,-0.111766,-0.018684,0.998849,-0.026767
9095689183,-0.137405,-0.033094,0.009547,-0.015040,1.000270,-0.026009
9095691685,-0.137239,0.027734,-0.051288,-0.009248,0.997317,-0.025249
9095694188,-0.137239,0.088861,0.009307,-0.013624,0.996625,-0.024556
9095696690,-0.198181,0.028071,0.009423,-0.013647,0.993722,-0.024565
9095699193,-0.198079,0.089039,0.009294,-0.012964,0.989357,-0.023120
9095701695,-0.136988,0.088637,-0.051407,-0.013621,0.994455,-0.027471
9095704197,-0.075956,0.027259,-0.111964,-0.014300,0.998097,-0.030372
9095706699,-0.076055,-0.033568,-0.051096,-0.015054,0.996646,-0.028201
9095709202,-0.137143,-0.033024,0.070324,-0.012184,0.992266,-0.027467
9095711704,-0.137223,-0.093832,0.131134,-0.012873,0.995180,-0.029644
9095714207,-0.076191,-0.155153,0.070520,-0.012131,0.995180,-0.031819
9095716709,-0.076127,-0.094128,0.070372,-0.008519,0.994417,-0.028887
9095719211,-0.015117,-0.033337,0.070230,-0.010672,0.993722,-0.033994
9095721714,-0.075936,0.027707,0.009369,-0.011406,0.993002,-0.034002
9095724216,-0.075869,-0.033437,-0.051213,-0.012828,0.995197,-0.036186
9095726718,-0.014939,-0.094619,-0.051063,-0.009937,0.996614,-0.031799
9095729221,0.045971,-0.155781,-0.050914,-0.010706,0.994433,-0.028176
9095731723,0.106943,-0.094970,-0.051017,-0.014300,0.998097,-0.030372
9095734225,0.046084,0.088205,-0.051388,-0.014306,0.996647,-0.031104
9095736727,-0.075823,0.088608,-0.051385,-0.012152,0.993725,-0.030370
9095739230,-0.075882,0.088739,0.009336,-0.016504,0.995936,-0.029668
9095741732,-0.015075,-0.033299,0.070299,-0.015080,0.995913,-0.025296
9095744235,0.106821,-0.033719,0.070291,-0.009295,0.991511,-0.025267
9095746737,0.106788,-0.033709,0.070268,-0.009996,0.992250,-0.028178
9095749239,0.106754,-0.033698,0.070246,-0.012152,0.993725,-0.030370
9095751742,-0.015254,-0.033098,0.130916,-0.012851,0.993017,-0.035466
9095754244,-0.137141,-0.032657,0.130861,-0.014337,0.991570,-0.032574
9095756746,-0.258947,-0.093352,0.070227,-0.015055,0.995198,-0.029660
9095759249,-0.258946,-0.215276,0.070457,-0.015781,0.996652,-0.028207
9095761751,-0.197999,-0.337377,0.070695,-0.012879,0.994454,-0.029646
9095764254,-0.076087,-0.276566,0.131266,-0.012146,0.994450,-0.030368
9095766757,0.046031,-0.094138,0.070154,-0.012856,0.996634,-0.030366
9095769258,-0.014849,0.028060,0.069872,-0.014351,0.992289,-0.029664
9095771761,0.046142,0.088813,0.069731,-0.012214,0.987913,-0.028208
9095774263,0.107113,0.149546,0.069589,-0.015073,0.993020,-0.029667
9095776765,0.167863,0.027489,0.130533,-0.014364,0.994455,-0.025295
9095779268,0.167813,-0.094632,0.070039,-0.012182,0.993714,-0.026009
9095781770,0.106857,-0.155522,0.009431,-0.013632,0.993727,-0.026746
9095784272,-0.075974,-0.093851,0.009281,-0.009966,0.997327,-0.026708
9095786775,-0.136814,-0.093765,-0.051435,-0.012168,0.997337,-0.023816
9095789277,-0.197634,-0.093679,-0.112131,-0.010012,0.995862,-0.021624
9095791779,-0.197652,-0.215603,-0.111843,-0.010751,0.994416,-0.021634
9095794282,-0.136727,-0.215592,-0.051095,-0.012930,0.992988,-0.023835
9095796784,-0.136769,-0.093253,0.070079,-0.013635,0.991555,-0.028934
9095799286,-0.075740,-0.032462,0.069937,-0.013622,0.993731,-0.028200
9095801804,0.046218,-0.094018,0.009350,-0.012910,0.992995,-0.026743
9095804291,0.046204,-0.093988,0.009347,-0.015090,0.995185,-0.024571
9095806794,-0.014797,-0.154720,0.009464,-0.016569,0.996636,-0.019489
9095809296,-0.136684,-0.154241,0.009447,-0.014375,0.997346,-0.020198
9095811798,-0.258450,-0.153921,-0.051276,-0.009956,0.997330,-0.028162
9095814301,-0.319109,-0.092999,-0.172804,-0.007822,0.993676,-0.025250
9095816803,-0.258103,-0.154161,-0.172616,-0.010028,0.995133,-0.020173
9095819305,-0.136130,-0.154543,-0.172548,-0.012195,0.995156,-0.022369
9095821807,0.107408,-0.215856,0.009777,-0.006372,0.994386,-0.023783
